Food Bank,,Total Population,Revised Projections March 2021 Food Insecurity%,Revised Projections March 2021 Food Insecurity#,address_1,postal code,state_y,statecode,latitude,longitude
Central Texas Food Bank,,3054012,0.154,469120,6500 Metropolis Drive,78744,Texas,TX,30.1876,-97.7472
Food Bank of the Golden Crescent,,303970,0.174,52770,3809 E. Rio Grande|P.O.Box 5085,77901,Texas,TX,28.809,-96.9993
South Texas Food Bank,,478379,0.208,99310,2121 Jefferson St.,78040,Texas,TX,27.5155,-99.4986
Wichita Falls Area Food Bank,,225644,0.192,43430,1230 Midwestern Parkway|PO Box 623,76307,Texas,TX,33.9137,-98.4934
Utah Food Bank,,3096848,0.121,373400,3150 South 900 West,84119,Utah,UT,40.6916,-112.0011
"Blue Ridge Area Food Bank, Inc.",,1599930,0.095,151430,96 Laurel Hill Road|P.O. Box 937,24482,Virginia,VA,38.2037,-79.0059
Fredericksburg Regional Foodbank,,400848,0.078,31420,3631 Lee Hill Drive|PO Box 1006,22408,Virginia,VA,38.2481,-77.4681
Virginia Peninsula Foodbank,,537162,0.115,61810,2401 Aluminum Avenue,23661,Virginia,VA,37.0074,-76.3801
Foodbank of Southeastern Virginia,,1238563,0.106,131220,800 Tidewater Drive|PO Box 1940,23504,Virginia,VA,36.8586,-76.2686
Feed More,,1548043,0.107,165570,1415 Rhoadmiller Street,23220,Virginia,VA,37.5498,-77.4588
Feeding Southwest Virginia,,1161499,0.14,162360,1025 Electric Road,24153,Virginia,VA,37.2853,-80.0692
Vermont Foodbank,,624313,0.11,68780,33 Parker Road,5641,Vermont,VT,44.1945,-72.4936
Food Lifeline,,5317142,0.112,594150,815 South 96th Street,98108,Washington,WA,47.5413,-122.3129
Second Harvest Inland Northwest,,1848238,0.132,243200,1234 E. Front Avenue,99202,Washington,WA,47.6547,-117.381
Second Harvest Foodbank of Southern Wisconsin,,1277333,0.098,125370,2802 Dairy Drive,53718,Wisconsin,WI,43.0984,-89.2734
Feeding America Eastern Wisconsin,,3856532,0.104,402610,1700 W. Fond Du Lac Avenue,53205,Wisconsin,WI,43.0528,-87.9353
Mountaineer Food Bank,,1520939,0.138,209710,484 Enterprise Drive,26624,West Virginia,WV,38.6862,-80.7863
Facing Hunger Foodbank,,467106,0.166,77560,1327 Seventh Avenue,25701,West Virginia,WV,38.4097,-82.4423
